key	vpdIdx	angChord	angKink	dAng	label	cols	kinkDeg	gain	splitIdx	kFrac	lenA	lenB	chordLenM	frontLenM	r3	bestIdx	ruleOk	dyChord	dyKink	cleanRatio	depthM	mpp	areaPx	tilt
1:2	2	39.34977119442373	63.322967723387514	23.973196528963783	악화	187	47.68281774483047	1.8048144281095873	83	0.44385026737967914	4.1802474913820244	2.259866007830468	3.9536495481804277	2.259866007830468	1	0	false	-124.31074155442445	-80.90467668554402	0.43315508021390375	15.163049666538354	0.00531404509164036	169722.00000000006	20.1
1:2	3	14.526904368216895	15.478851021944832	0.9519466537279371	악화	159	45.19310310272363	1.7778976348741795	54	0.33962264150943394	4.600758462626243	2.8943464390525384	4.3364605465446004	2.8943464390525384	1	1	true	-143.61661781979092	-127.34997112577184	0.050314465408805034	18.159689150053595	0.006861488206557912	96390	20.1
1:2	4	4.569068963739826	4.569068963739826	0	폴백	24	15.966188196482882	7.8035305983877885	19	0.7916666666666666	0.669819289336191	0.2444636472707059	0.9437929298624813	0.9437929298624813	0	1	false	-19.197085676795155	-19.197085676795155	0.20833333333333334	26.64463753878705	0.010258618802853057	8734.5	20.1
1:2	5	36.12488629073127	11.291787859511441	-24.833098431219828	개선	55	72.34741322266184	1.8991511850212186	8	0.14545454545454545	2.0800520884179976	1.7451323356466093	1.8894572651095074	1.7451323356466093	1	1	true	-28.450642787560696	-34.40558695630587	0.9272727272727272	26.32620677484362	0.008747487338469941	24934.5	20.1
1:2	6	14.535887194022937	2.8000637432390456	-11.735823450783892	개선	159	52.81132519170033	4.659314234623465	101	0.6352201257861635	7.202594479995528	2.480765693282825	7.101029332898494	2.480765693282825	1	1	true	-227.83092786503232	-21.955993316099182	0.389937106918239	18.072026517305876	0.01123580590648496	109615.5	20.1
1:2	7	60.55700481805312	3.514674208963833	-57.04233060908929	개선	116	51.25282832365282	4.356166000848912	45	0.3879310344827586	5.034808837848356	2.8722214198995317	4.053450722397763	2.8722214198995317	1	1	true	-184.75646542657324	-119.15442447476761	0.02586206896551724	20.000103218749743	0.008811849396516875	61191	20.1
1:2	8	70.8504660074525	28.8070805727961	-42.0433854346564	개선	207	50.42495316150779	5.865061567954279	29	0.14009661835748793	1.1892210125152756	2.474853042863434	4.129722587618616	2.474853042863434	1	1	true	-58.598220784325235	106.60847626725058	1	8.57672157937883	0.005011799256818709	350716.49999999994	20.1
1:2	9	35.363004072413226	5.690567120929973	-29.672436951483252	개선	66	42.452273331806495	2.1436773742379382	14	0.21212121212121213	2.4840160436043113	2.0843987653004623	2.527256732751376	2.0843987653004623	1	1	true	-28.662945897453966	-20.22638031686219	0.8636363636363636	27.965764665349003	0.009720218202889907	17001	20.1
1:3	0	0.2704011496752948	7.884866589268507	7.614465439593212	악화	84	61.497435534301225	2.467441285458893	70	0.8333333333333334	1.7924136697245723	1.2083214465943268	2.1657304003790427	1.7924136697245723	0	0	true	-57.73324837772884	-52.98858884996815	1	10.30978610758687	0.006523284338491093	71397	35.8
2:1	0	8.229075034859362	7.322399121346039	-0.9066759135133227	개선	96	65.50240611292716	1.9509767798010642	29	0.3020833333333333	7.785374757302839	2.7492280476921893	6.1978243111387465	2.7492280476921893	1	1	true	-85.95949316366875	-26.444988765000062	0.7708333333333334	26.212206915536356	0.016310063976680913	52956	10
